date,time,worker_id,team,zone,task_type,ppe_type,worn,risk_exposure,note
2026-03-01,15:20,W-3001,B팀,고소작업구역,고소작업,랜야드,O,O,위험노출 작업 정상 수행
2026-03-01,13:20,W-3002,B팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-01,09:20,W-3003,B팀,고소작업구역,고소작업,랜야드,O,O,위험노출 작업 정상 수행
2026-03-01,13:40,W-3004,A팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-01,11:10,W-3005,C팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-01,14:40,W-3006,B팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-01,10:30,W-3007,C팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-01,17:20,W-3008,B팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-01,13:20,W-3009,A팀,절단작업구역,절단작업,장갑,X,O,장갑 착용 미흡
2026-03-01,09:00,W-3010,D팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-01,14:00,W-3011,B팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-01,13:00,W-3012,C팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-01,10:50,W-3013,A팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-01,12:05,W-3014,D팀,절단작업구역,절단작업,장갑,X,O,장갑 착용 미흡
2026-03-01,15:00,W-3015,A팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-01,15:40,W-3016,D팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-01,11:30,W-3017,C팀,자재운반구역,자재운반,안전모,O,X,일반 작업 정상 수행
2026-03-01,16:40,W-3018,A팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-01,09:45,W-3019,C팀,자재운반구역,자재운반,장갑,O,X,일반 작업 정상 수행
2026-03-01,09:00,W-3020,C팀,자재운반구역,자재운반,장갑,X,O,장갑 착용 미흡
2026-03-01,10:10,W-3021,C팀,자재운반구역,자재운반,장갑,O,X,일반 작업 정상 수행
2026-03-01,13:40,W-3022,D팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-01,13:20,W-3023,C팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-01,08:40,W-3024,C팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-01,13:40,W-3025,B팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-01,12:40,W-3026,D팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-01,12:40,W-3027,D팀,설비점검구역,설비점검,안전모,X,O,안전모 착용 미흡
2026-03-01,16:40,W-3028,D팀,설비점검구역,설비점검,장갑,O,X,일반 작업 정상 수행
2026-03-01,13:00,W-3029,D팀,설비점검구역,설비점검,장갑,O,X,일반 작업 정상 수행
2026-03-01,08:40,W-3030,C팀,설비점검구역,설비점검,장갑,X,O,장갑 착용 미흡
2026-03-01,10:50,W-3031,B팀,설비점검구역,설비점검,안전모,X,O,안전모 착용 미흡
2026-03-01,12:40,W-3032,C팀,설비점검구역,설비점검,장갑,X,O,장갑 착용 미흡
2026-03-02,13:40,W-3033,A팀,고소작업구역,고소작업,랜야드,O,O,위험노출 작업 정상 수행
2026-03-02,09:45,W-3034,C팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-02,12:20,W-3035,A팀,고소작업구역,고소작업,랜야드,O,X,일반 작업 정상 수행
2026-03-02,08:20,W-3036,C팀,고소작업구역,고소작업,안전모,O,X,일반 작업 정상 수행
